year,pick,team,player,position,link
1994,14,NJN,Yinka Dare,Center,https://www.basketball-reference.com//players/d/dareyi01.html
1994,15,IND,Eric Piatkowski,Shooting,https://www.basketball-reference.com//players/p/piatker01.html
1994,16,GSW,Clifford Rozier,Center,https://www.basketball-reference.com//players/r/roziecl01.html
1994,17,POR,Aaron McKie,Shooting,https://www.basketball-reference.com//players/m/mckieaa01.html
1994,18,MIL,Eric Mobley,Center,https://www.basketball-reference.com//players/m/mobleer01.html
1994,19,DAL,Tony Dumas,Shooting,https://www.basketball-reference.com//players/d/dumasto01.html
1994,20,PHI,B.J. Tyler,Point,https://www.basketball-reference.com//players/t/tylerbj01.html
1994,21,CHI,Dickey Simpkins,Power,https://www.basketball-reference.com//players/s/simpkdi01.html
1994,22,SAS,Bill Curley,Power,https://www.basketball-reference.com//players/c/curlebi01.html
1994,23,PHO,Wesley Person,Shooting,https://www.basketball-reference.com//players/p/persowe01.html
1994,24,NYK,Monty Williams,Small,https://www.basketball-reference.com//players/w/willimo01.html
1994,25,LAC,Greg Minor,Shooting,https://www.basketball-reference.com//players/m/minorgr01.html
1994,26,NYK,Charlie Ward,Point,https://www.basketball-reference.com//players/w/wardch01.html
1994,27,ORL,Brooks Thompson,Point,https://www.basketball-reference.com//players/t/thompbr01.html
1994,28,DAL,Deon Thomas,Unknown,https://www.basketball-reference.com//players/t/thomade02.html
1994,29,PHO,Antonio Lang,Small,https://www.basketball-reference.com//players/l/langan02.html
1994,30,MIN,Howard Eisley,Point,https://www.basketball-reference.com//players/e/eisleho01.html
1994,31,ORL,Rodney Dent,Unknown,https://www.basketball-reference.com//players/d/dentro01.html
1994,32,WSB,Jim McIlvaine,Center,https://www.basketball-reference.com//players/m/mcilvji01.html
1994,33,PHI,Derrick Alston,Center,https://www.basketball-reference.com//players/a/alstode01.html
1994,34,ATL,Gaylon Nickerson,Shooting,https://www.basketball-reference.com//players/n/nickega01.html
1994,35,SAC,Michael Smith,Power,https://www.basketball-reference.com//players/s/smithmi02.html
1994,36,BOS,Andrei Fetisov,Unknown,https://www.basketball-reference.com//players/f/fetisan01.html
1994,37,SEA,Dontonio Wingfield,Small,https://www.basketball-reference.com//players/w/wingfdo01.html
1994,38,CHH,Darrin Hancock,Small,https://www.basketball-reference.com//players/h/hancoda01.html
1994,39,GSW,Anthony Miller,Power,https://www.basketball-reference.com//players/m/millean01.html
1994,40,MIA,Jeff Webster,Small,https://www.basketball-reference.com//players/w/webstje01.html
1994,41,IND,William Njoku,Unknown,https://www.basketball-reference.com//players/n/njokuwi01.html
1994,42,CLE,Gary Collier,Unknown,https://www.basketball-reference.com//players/c/colliga01.html
1994,43,POR,Shawnelle Scott,Center,https://www.basketball-reference.com//players/s/scottsh01.html
1994,44,IND,Damon Bailey,Unknown,https://www.basketball-reference.com//players/b/baileda01.html
1994,45,GSW,Dwayne Morton,Point,https://www.basketball-reference.com//players/m/mortodw01.html
1994,46,MIL,Voshon Lenard,Shooting,https://www.basketball-reference.com//players/l/lenarvo01.html
1994,47,UTA,Jamie Watson,Small,https://www.basketball-reference.com//players/w/watsoja01.html
1994,48,DET,Jevon Crudup,Unknown,https://www.basketball-reference.com//players/c/cruduje01.html
1994,49,CHI,Kris Bruton,Unknown,https://www.basketball-reference.com//players/b/brutokr01.html
1994,50,PHO,Charles Claxton,Center,https://www.basketball-reference.com//players/c/claxtch01.html
1994,51,SAC,Lawrence Funderburke,Power,https://www.basketball-reference.com//players/f/fundela01.html
1994,52,PHO,Anthony Goldwire,Point,https://www.basketball-reference.com//players/g/goldwan01.html
1994,53,HOU,Albert Burditt,Unknown,https://www.basketball-reference.com//players/b/burdial01.html
1994,54,SEA,Željko Rebrača,Center,https://www.basketball-reference.com//players/r/rebraze01.html
1995,1,GSW,Joe Smith,Power,https://www.basketball-reference.com//players/s/smithjo02.html
1995,2,LAC,Antonio McDyess,Power,https://www.basketball-reference.com//players/m/mcdyean01.html
1995,3,PHI,Jerry Stackhouse,Shooting,https://www.basketball-reference.com//players/s/stackje01.html
1995,4,WSB,Rasheed Wallace,Power,https://www.basketball-reference.com//players/w/wallara01.html
1995,5,MIN,Kevin Garnett,Power,https://www.basketball-reference.com//players/g/garneke01.html
1995,6,VAN,Bryant Reeves,Center,https://www.basketball-reference.com//players/r/reevebr01.html
1995,7,TOR,Damon Stoudamire,Point,https://www.basketball-reference.com//players/s/stoudda01.html
1995,8,POR,Shawn Respert,Shooting,https://www.basketball-reference.com//players/r/respesh01.html
1995,9,NJN,Ed O'Bannon,Small,https://www.basketball-reference.com//players/o/obanned01.html
1995,10,MIA,Kurt Thomas,Power,https://www.basketball-reference.com//players/t/thomaku01.html
1995,11,MIL,Gary Trent,Power,https://www.basketball-reference.com//players/t/trentga01.html
1995,12,DAL,Cherokee Parks,Center,https://www.basketball-reference.com//players/p/parksch02.html
1995,13,SAC,Corliss Williamson,Small,https://www.basketball-reference.com//players/w/willico02.html
1995,14,BOS,Eric Williams,Small,https://www.basketball-reference.com//players/w/willier01.html
1995,15,DEN,Brent Barry,Shooting,https://www.basketball-reference.com//players/b/barrybr01.html
1995,16,ATL,Alan Henderson,Power,https://www.basketball-reference.com//players/h/hendeal01.html
1995,17,CLE,Bob Sura,Shooting,https://www.basketball-reference.com//players/s/surabo01.html
1995,18,DET,Theo Ratliff,Center,https://www.basketball-reference.com//players/r/ratlith01.html
1995,19,DET,Randolph Childress,Point,https://www.basketball-reference.com//players/c/childra01.html
1995,20,CHI,Jason Caffey,Power,https://www.basketball-reference.com//players/c/caffeja01.html
