Year,Pick,Team,Player,Position
1997,19,DET,Scot Pollard,Center
1997,20,MIN,Paul Grant,Center
1997,21,NJN,Anthony Parker,Shooting
1997,22,ATL,Ed Gray,Shooting
1997,23,SEA,Bobby Jackson,Point
1997,24,HOU,Rodrick Rhodes,Small
1997,25,NYK,John Thomas,Center
1997,26,MIA,Charles Smith,Shooting
1997,27,UTA,Jacque Vaughn,Point
1997,28,CHI,Keith Booth,Small
1997,29,HOU,Serge Zwikker,Unknown
1997,30,MIA,Mark Sanford,Unknown
1997,31,DET,Charles O'Bannon,Shooting
1997,32,DEN,James Cotton,Shooting
1997,33,PHI,Marko Milič,Shooting
1997,34,DAL,Bubba Wells,Shooting
1997,35,PHI,Kebu Stewart,Power
1997,36,PHI,James Collins,Shooting
1997,37,GSW,Marc Jackson,Center
1997,38,MIL,Jerald Honeycutt,Power
1997,39,SAC,Anthony Johnson,Point
1997,40,SEA,Eddie Elisma,Unknown
1997,41,DEN,Jason Lawson,Center
1997,42,PHO,Stephen Jackson,Small
1997,43,MIN,Gordon Malone,Unknown
1997,44,CLE,Cedric Henderson,Small
1997,45,WAS,God Shammgod,Point
1997,46,ORL,Eric Washington,Shooting
1997,47,POR,Alvin Williams,Point
1997,48,WAS,Predrag Drobnjak,Center
1997,49,ATL,Alain Digbeau,Unknown
1997,50,ATL,Chris Crawford,Power
1997,51,LAL,DeJuan Wheat,Point
1997,52,VAN,C.J. Bruton,Unknown
1997,53,LAL,Paul Rogers,Unknown
1997,54,SEA,Mark Blount,Center
1997,55,BOS,Ben Pepper,Unknown
1997,56,UTA,Nate Erdmann,Unknown
1997,57,CHI,Roberto Duenas,Unknown
1998,1,LAC,Michael Olowokandi,Center
1998,2,VAN,Mike Bibby,Point
1998,3,DEN,Raef LaFrentz,Center
1998,4,TOR,Antawn Jamison,Power
1998,5,GSW,Vince Carter,Shooting
1998,6,DAL,Robert Traylor,Center
1998,7,SAC,Jason Williams,Point
1998,8,PHI,Larry Hughes,Shooting
1998,9,MIL,Dirk Nowitzki,Power
1998,10,BOS,Paul Pierce,Small
1998,11,DET,Bonzi Wells,Shooting
